verim:160-masa sayısı:0-garson sayısı:1-asçı sayısı:1-bekleyen müşteriler:82-giden müşteri80
verim:71-masa sayısı:100-garson sayısı:17-asçı sayısı:13-bekleyen müşteriler:201-giden müşteri0
verim:77-masa sayısı:50-garson sayısı:47-asçı sayısı:27-bekleyen müşteriler:201-giden müşteri0
verim:156-masa sayısı:25-garson sayısı:14-asçı sayısı:6-bekleyen müşteriler:201-giden müşteri0
verim:244-masa sayısı:12-garson sayısı:9-asçı sayısı:3-bekleyen müşteriler:201-giden müşteri67
verim:288-masa sayısı:6-garson sayısı:7-asçı sayısı:1-bekleyen müşteriler:201-giden müşteri101
verim:340-masa sayısı:3-garson sayısı:4-asçı sayısı:4-bekleyen müşteriler:201-giden müşteri150
verim:369-masa sayısı:1-garson sayısı:2-asçı sayısı:3-bekleyen müşteriler:201-giden müşteri174
verim:385-masa sayısı:0-garson sayısı:1-asçı sayısı:2-bekleyen müşteriler:201-giden müşteri187
verim:392-masa sayısı:0-garson sayısı:1-asçı sayısı:1-bekleyen müşteriler:201-giden müşteri193
verim:394-masa sayısı:0-garson sayısı:1-asçı sayısı:2-bekleyen müşteriler:201-giden müşteri196
verim:-47-masa sayısı:46-garson sayısı:47-asçı sayısı:47-bekleyen müşteriler:93-giden müşteri0
verim:60-masa sayısı:23-garson sayısı:9-asçı sayısı:1-bekleyen müşteriler:93-giden müşteri0
verim:65-masa sayısı:11-garson sayısı:10-asçı sayısı:7-bekleyen müşteriler:93-giden müşteri0
verim:128-masa sayısı:5-garson sayısı:4-asçı sayısı:2-bekleyen müşteriler:93-giden müşteri46
verim:157-masa sayısı:2-garson sayısı:1-asçı sayısı:2-bekleyen müşteriler:93-giden müşteri69
verim:170-masa sayısı:1-garson sayısı:1-asçı sayısı:1-bekleyen müşteriler:93-giden müşteri80
verim:177-masa sayısı:0-garson sayısı:1-asçı sayısı:1-bekleyen müşteriler:93-giden müşteri86
verim:179-masa sayısı:0-garson sayısı:1-asçı sayısı:2-bekleyen müşteriler:93-giden müşteri89
verim:181-masa sayısı:0-garson sayısı:1-asçı sayısı:1-bekleyen müşteriler:93-giden müşteri90
verim:181-masa sayısı:0-garson sayısı:1-asçı sayısı:2-bekleyen müşteriler:93-giden müşteri91
verim:181-masa sayısı:0-garson sayısı:1-asçı sayısı:2-bekleyen müşteriler:93-giden müşteri91
verim:181-masa sayısı:0-garson sayısı:1-asçı sayısı:2-bekleyen müşteriler:93-giden müşteri91
verim:182-masa sayısı:0-garson sayısı:1-asçı sayısı:1-bekleyen müşteriler:93-giden müşteri91
verim:182-masa sayısı:0-garson sayısı:1-asçı sayısı:1-bekleyen müşteriler:93-giden müşteri91
verim:182-masa sayısı:0-garson sayısı:1-asçı sayısı:1-bekleyen müşteriler:93-giden müşteri91
verim:181-masa sayısı:0-garson sayısı:1-asçı sayısı:2-bekleyen müşteriler:93-giden müşteri91
verim:182-masa sayısı:0-garson sayısı:1-asçı sayısı:1-bekleyen müşteriler:93-giden müşteri91
